bus_id,bus_type,routes
1,0,"လှည်းကူးဈေးရှေ့, တာဆုံ, ဒရယ်ဖို, ပေါက်ကုန်း, ရဲမွန်, စီအိုတီ, ဇရပ်ကွင်း(တာဆုံ), အင်းတိုင်, တရုတ်ကုန်း, သနပ်ပင်, သင်္ဃန်းကျွန်း, ရွာသာကြီး(စီးပွားရေးတက္ကသိုလ်), တောင်မြောက်လမ်းဆုံ, စံပြဈေး, ဇဝန, သုမင်္ဂလာ, ရတနာလမ်း(သင်္ဃန်းကျွန်း), မြင်သာ(ကညန), စံပြဈေး"
2,1,"ယုဇန(ခိုင်ရွှေဝါလမ်း), ပြည်ထောင်စုလမ်း, လှော်ကားလမ်း, မောင်းမကန်လမ်း, အမှတ်(၂)လမ်း, တောင်မြောက်လမ်းဆုံ, ပြည်ထောင်စုလမ်း, ဗိုလ်မှူးဗထူးလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, ခေမာသီလမ်း, ဆေးတက္ကသိုလ်(၂), မြောက်ဥက္ကလာပဆေးရုံ, သုဓမ္မာလမ်း, ၆ကွေ့, အောင်မင်္ဂလာအဝေးပြေးဝင်း"
3,1,"ယုဇနဥယျာဉ်မြို့တော်, ပဲခူးမြစ်လမ်း, ဧရာဝဏ်လမ်း, မောင်းမကန်လမ်း, စည်ပင်လမ်း, တောင်မြောက်လမ်းဆုံ, စံပြဈေး, လေးထောင့်ကန်လမ်း, အရှေ့မြင်းပြိုင်ကွင်းလမ်း, တာမွေအဝိုင်း, ဗညားဒလလမ်း, ယုဇနပလာဇာ, မင်္ဂလာဈေး, ကျိုက္ကဆံလမ်း"
4,1,"ယုဇနဥယျာဉ်မြို့တော်, ပဲခူးမြစ်လမ်း, ဧရာဝဏ်လမ်း, ကွေ့မ, ရတနာလမ်း(ဒဂုံဆိပ်ကမ်း), တိုင်းရင်းသားကျေးရွာ, သံလျင်တံတားချဉ်းကပ်လမ်း, သာကေတအဝိုင်း, ကျောက်တိုင်, မင်းနန္ဒာလမ်း, မဟာဗန္ဓုလတံတား, အနော်ရထာလမ်း, ဆူးလေ"
5,1,"ရိုးမရိပ်သာ, ၈၉လမ်းဆုံ, ပဲခူးမြစ်လမ်း, ယုဇနဥယျာဉ်, ကျွန်းရွှေဝါလမ်း, ရွှေလီလမ်း, ရတနာလမ်း(ဒဂုံဆိပ်ကမ်း), တိုင်းရင်းသားကျေးရွာ, သာကေတ(အဝိုင်း), ကျောက်တိုင်, မင်းနန္ဒာလမ်း, စက်ဆန်းတံတား, ညောင်တန်း, အနော်ရထာလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း, ဗိုလ်ချုပ်အောင်ဆန်းလမ်း"
6,1,"အောင်မြင့်မိုရ်, လှော်ကားလမ်း, မောင်းမကန်လမ်း, စည်ပင်လမ်း, တောင်မြောက်လမ်းဆုံ, စံပြဈေး, သံသုမာလမ်း, ဘေလီ, ချော်တွင်းကုန်း, နဝဒေး, ၈မိုင်လမ်းဆုံ, ကျိုက်ဝိုင်းဘုရားလမ်း, မင်းဓမ္မလမ်း, စော်ဘွားကြီးကုန်း, ပြည်လမ်း, ၁၀မိုင်ကုန်း, ၉မိုင်, ၈မိုင်လမ်းဆုံ"
7,1,"တောင်ဒဂုံ(၇၀/၇၂)ရပ်ကွက်, ရတနာပုံလမ်း, ကျန်စစ်သားလမ်း, လှော်ကားလမ်း, ဘုန်းကြီးကျောင်းကွေ့, ကုန်တိုက်, ပြည်ထောင်စုလမ်း, စက်မှှုဇုံ, တောင်မြောက်လမ်းဆုံ, စံပြဈေး, ဇဝန, တာမွေ(ဗလီ), မင်္ဂလာဈေး, သိမ်ဖြူ, အနော်ရထာလမ်း, ဆူးလေ, မဟာဗန္ဓုလလမ်း"
8,2,"အင်းဝ အိမ်ရာ, သာကေတ(အဝိုင်း), ဧရာဝဏ်လမ်း, ၇ဈေးလမ်း, မြင်တော်သာလမ်း, သုဓမ္မာလမ်း, မင်းနန္ဒာလမ်း, ယမုံနာလမ်း, သာကေတတံတား, မင်္ဂလာဈေး, နတ်မောက်လမ်း, ဦးထောင်ဘိုလမ်း, ရွှေတိဂုံဘုရားလမ်း, ဇီဝကလမ်း"
9,2,"တိုင်းရင်းသား နည်းပညာတက္ကသိုလ်, ဧရာဝဏ်လမ်း, ကျောက်တိုင်, မင်းနန္ဒာလမ်း, ဒေါပုံ, သာကေတတံတား, ယုဇနပလာဇာ, ကျိုက္ကဆံလမ်း, ရွေဗဟို, သမိန်ဗရမ်းလမ်း, ကြက်ဘဲဈေး, သံသုမာလမ်း, သုဝဏ္ဏတံတား, ကျောက်တိုင်"
10,2,"တိုင်းရင်းသားကျေးရွာ, ရှုခင်းသာမြို့ပါတ်လမ်း, ၅ကွေ့, ဇင်ဂမလမ်း, မင်းနန္ဒာလမ်း, ကျောက်တိုင်, သုဝဏ္ဏတံတား, အသင်းတိုက်, ဇဝန, သုမင်္ဂလာလမ်း, ပါရမီလမ်း, ချော်တွင်းကုန်း, နဝဒေး, သုဓမ္မာလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, ဗိုလ်မှုးဗထူးလမ်း, ဒဂုံတက္ကသိုလ်"
11,0,"ခရေရိပ်မွန်အိမ်ရာ, ခရေပင်လမ်းခွဲ, စော်ဘွားကြီးကုန်း, အင်းစိန်ပန်းခြံ, ဗဟိုလမ်း, ရွာမကျောင်းလမ်း, ဗဟိုလမ်း, လှည်းတန်းခိုင်ရွှေဝါ, ဟံသာဝတီလမ်း, အထက်ကြည့်မြင့်တိုင်လမ်း, ဗားကရာလမ်း, မြေနီကုန်း, ဓမ္မစေတီလမ်း, လင့်လမ်း, အနောက်ရွှေဂုံတိုင်လမ်း, သွေးဆေးကန်လမ်း, ရွှေတိဂုံဘုရားလမ်း, ဇီဝကလမ်း, ဦးဝိစာရလမ်း, ဦးထောင်ဘိုလမ်း"
12,1,"(၅၀)ကွေ့, ၄၆လမ်းဆုံ, (၇/၈)လမ်းဆုံ, မဝတလမ်းဆုံ, ဘေလီ, ပါရမီလမ်း, နန္ဒဝန်ဈေး, သစ္စာလမ်း, မိုးကောင်းလမ်း, ကံဘဲ့လမ်း, ရန်ကင်းလမ်း, ဂွတ္တလစ်ဈေးကွေ့, တာမွေအဝိုင်း, ရွှေဂုံတိုင်လမ်း, ရွှေဂုံတိုင်, ရန်ကုန်ဘူတာကြီး, ဆူးလေ"
14,1,"ဒဂုံမြောက်(ဘုရင့်နောင်လမ်းဆုံ), ဘုရင့်နောင်လမ်း, ပင်လုံလမ်း, ဘေလီ, သံသုမာလမ်း, ရတနာလမ်း(သင်္ဃန်းကျွန်း), မိုးကောင်းလမ်း, တာမွေအဝိုင်း, ဦးချစ်မောင်လမ်း, ရန်ကင်းစင်တာ, ရန်ကင်းလမ်း, ရန်ရှင်းလမ်း, စက်မှု(၁)လမ်း, ကမ္ဘာအေးဘုရားလမ်း, ကုက္ကိုင်း, တက္ကသိုလ်ရိပ်သာလမ်း, လှည်းတန်းလမ်း, ဆင်မလိုက်, ကြည့်မြင့်တိုင်ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
15,1,"(၅၀)ကွေ့, ပြည်ထောင်စုလမ်း, ရာဇာသင်္ကြန်လမ်း, ကြိုးတံတား, ခေမာသီလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, သုဓမ္မာလမ်း, နဝဒေး, ၈မိုင်လမ်းဆုံ, သမိုင်းလမ်းဆုံ, ဘုရင့်နောင်လမ်းဆုံ, ဘုရင့်နောင်လမ်း, ပေါက်တောဝ, အင်းစိန်ပန်းခြံ, ဘီအိုစီ, YTU, သမိုင်းလမ်းဆုံ"
16,1,"ရွှေပေါက်ကံ(တောင်ငူလမ်း), ကျောက်လမ်း, ၆ကွေ့, မြောက်ဥက္ကလာပအဝိုင်း, နဝဒေး, ၈မိုင်လမ်းဆုံ, ဘုရင့်နောင်တံတား, ပုသိမ်လမ်း, သမကုန်း, ဒဂုံဧရာအဝေးပြေးဝင်း"
17,1,"ရွှေပေါက်ကံ, (ဆင်ဖုံ), ၆ကွေ့, အောင်မင်္ဂလာအဝေးပြေးဝင်း, ခရေပင်လမ်းခွဲ, ဒညင်းကုန်းလမ်းဆုံ, ရွှေပြည်သာတံတား, ပေါက်တန်းအဝိုင်း, သမကုန်းအဝိုင်း, အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်"
18,1,"ခရေရိပ်မွန်, အမှတ်(၃)လမ်းဆုံ, အောင်မင်္ဂလာအဝေးပြေးဝင်း, ၆ကွေ့, သုဓမ္မာလမ်း, ဘုန်းကြီးလမ်း, သံသုမာလမ်း, ဘေလီ, ပါရမီလမ်း, အသင်းတိုက်, သံသုမာလမ်း, ကြက်ဘဲဈေး, သမိန်ဗရမ်းလမ်း, ကျိုက္ကဆံလမ်း, အရှေ့မြင်းပြိုင်ကွင်းလမ်း, လေးထောင့်ကန်လမ်း, ဝေဇယန္တာလမ်း, ဇဝန"
19,1,"ရွှေပေါက်ကံ, (ဆင်ဖုံ), ၆ကွေ့, သုဓမ္မာလမ်း, မြောက်ဥက္ကလာပအဝိုင်း, နဝဒေး, ၈မိုင်လမ်းဆုံ, သမိုင်းလမ်းဆုံ, ဘုရင့်နောင်လမ်းဆုံ, ဘုရင့်နောင်လမ်း, သီရိမင်္ဂလာဈေးသစ်, ဆင်မလိုက်, စံပြငါးဈေး, သခင်မြပန်းခြံ"
20,0,"TBဆေးရုံ, ဒဂုံဧရာအဝေးပြေးဝင်း, သမကုန်းအဝိုင်း, ဘီအိုစီအဝိုင်း, ဘုရင့်နောင်တံတား, ဘုရင့်နောင်လမ်း, သီရိမင်္ဂလာဈေးသစ်, ဆင်မလိုက်, စံပြငါးဈေး, ဗားကရာလမ်း, မြေနီကုန်း, လင့်လမ်း, ရွှေဂုံတိုင်, တာမွေအဝိုင်း, တာမွေလမ်း, ဗညားဒလလမ်း, ယုဇနပလာဇာ, သိမ်ဖြူ, မြရာကုန်းလမ်း, မြန်မာ့ဂုဏ်ရည်လမ်း, သိမ်ဖြူ"
21,0,"အနောက်ပိုင်းတက္ကသိုလ်(ထန်းတပင်), ပေါက်ကုန်းအဝိုင်း, ရွှေပြည်သာတံတား, ၁၄လမ်းဆုံ, ဒညင်းကုန်း, အောက်မင်္ဂလာဒုံလမ်း, ပြည်တော်သာ, မင်းကြီးလမ်း, အင်းစိန်ပန်းခြံ, YTU, သမိုင်းလမ်းဆုံ, လှည်းတန်း, မြေနီကုန်း, စံပြ, ကမ်းနားလမ်း, မော်တင်, မဟာဗန္ဓုလလမ်း"
22,0,"အနောက်ပိုင်းတက္ကသိုလ်(ထန်းတပင်), ပေါက်ကုန်းအဝိုင်း, ရိုးကြီး/ရိုးလေး, သမကုန်း, မီးခွက်ဈေး, အောင်ဇေယျတံတား, ပေါက်တောဝ, အင်းစိန်ပန်းခြံ, ဗဟိုလမ်း, အနောက်ကြို့ကုန်း, ဗဟိုလမ်း, ရွာမကျောင်းလမ်း, လှည်းတန်းခိုင်ရွှေဝါ, ဟံသာဝတီ, အထက်ကြည့်မြင့်တိုင်လမ်း, စလင်းကွင်း, ဗားကရာ, အနောက်ပိုင်းဆေးရုံ, အလုံလျှပ်စစ်ရုံး, ဂျမခန်နာ, သခင်မြပန်းခြံ"
23,0,"(တူးချောင်း), အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်, ပုသိမ်လမ်း, သမကုန်းအဝိုင်း, ဘီအိုစီအဝိုင်း, ဘုရင့်နောင်တံတား, ဘုရင့်နောင်လမ်း, သီရိမင်္ဂလာဈေးသစ်, ဆင်မလိုက်, စံပြငါးဈေး, ကမ်းနားလမ်း, သခင်မြပန်းခြံ"
24,1,"ကျန်စစ်သားလမ်း, တပင်ရွှေထီးလမ်း, ပြည်ထောင်စုလမ်း, တောင်မြောက်လမ်းဆုံ, လေးထောင့်ကန်လမ်း, စံပြဈေး, ဇဝန, အသင်းတိုက်, သုဝဏ္ဏတံတား, သံသုမာလမ်း, ကြက်ဘဲဈေး, အထက်ပုဇွန်တောင်လမ်း, ပုဇွန်တောင်ဈေး, မဟာဗန္ဓုလတံတားအောက်, ရာဇဓိရာဇ်လမ်း, ကမ်းနားလမ်း, ဗိုလ်တစ်ထောင်ဘုရားလမ်း"
