"(ဆင်ဖုံ)","17,19"
"(တူးချောင်း)","23"
"(၅၀)ကွေ့","12,15"
"(၇/၈)လမ်းဆုံ","12,25"
"TBဆေးရုံ","20"
"YTU","15,21,39"
"ကမာကြည်လမ်း","42"
"ကမ္ဘာအေးဘုရားလမ်း","14,28,29,30,36,38"
"ကမ်းနားလမ်း","21,23,24,26,34,35,37,39,40,56,57,57,58"
"ကုက္ကိုင်း","14,38"
"ကုန်တိုက်","7"
"ကုန်သည်လမ်း","31,56"
"ကော့မှူး","49,50"
"ကံဘဲ့","47,49,50"
"ကံဘဲ့လမ်း","12,29"
"ကျန်စစ်သားလမ်း","7,29,30,53,54"
"ကျန်စစ်သားလမ်း","24"
"ကျိုက္ကဆံလမ်း","3,9,18,25,27,33"
"ကျိုက်ဝိုင်းဘုရားလမ်း","6"
"ကျောက်ကုန်း","60"
"ကျောက်တန်း","33"
"ကျောက်တန်း(သန်လျင်လမ်း)","33"
"ကျောက်တိုင်","4,5,9,9,10,32,33"
"ကျောက်လမ်း","16"
"ကျွန်းရွှေဝါလမ်း","5"
"ကြက်ဘဲစျေး","59"
"ကြက်ဘဲဈေး","9,18,24,25,26"
"ကြည့်မြင့်တိုင်ကမ်းနားလမ်း","59"
"ကြည့်မြင့်တိုင်","30"
"ကြည့်မြင့်တိုင်ကမ်းနားလမ်း","14"
"ကြိုးတံတား","15"
"ကွန်ပြူတာတက္ကသိုလ်","39"
"ကွမ်းခြံကုန်း","49,50"
"ကွေ့မ","4"
"ခရမ်း","34"
"ခရမ်း","51"
"ခရေပင်လမ်းခွဲ","11,17,35,37,42,44"
"ခရေရိပ်မွန်","18"
"ခရေရိပ်မွန်အိမ်ရာ","11"
"ခရေရိပ်မွန်အိမ်ရာ","32"
"ခေမာသီလမ်း","2,15"
"ချော်တွင်းကုန်း","6,10"
"ဂျမခန်နာ","22"
"ဂွတ္တလစ်ဈေး","29"
"ဂွတ္တလစ်ဈေးကွေ့","12"
"ငမိုးရိပ်တံတား","25"
"စက်ဆန်းတံတား","5"
"စက်မှု(၁)လမ်း","14,38"
"စက်မှှုဇုံ","7"
"စည်ပင်လမ်း","3,6"
"စလင်းကွင်း","22"
"စိတ်ကျန်းမာရေး","27"
"စီအိုတီ","1"
"စော်ဘွားကြီးကုန်း","6,11,37,41"
"စံပြ","21,37,39"
"စံပြငါးဈေး","19,20,23,40"
"စံပြဈေး","1,1,3,6,7,24"
"ဆင်မလိုက်","14,19,20,23,38,40"
"ဆူးလေ","4,7,12,29,36"
"ဆူးလေမြို့တော်ခန်းမ","28"
"ဆေးတက္ကသိုလ်(၂)","2"
"ဇင်ဂမလမ်း","10"
"ဇရပ်ကွင်း(တာဆုံ)","1"
"ဇဝန","1,7,10,18,24,32"
"ဇီဝကလမ်း","8,11"
"ညောင်တန်း","5"
"ညောင်တုန်းလမ်း","53,54"
"ညောင်ပင်","30"
"တက္ကသိုလ်ရိပ်သာလမ်း","14,38"
"တပင်ရွှေထီးလမ်း","24"
"တရုတ်ကုန်း","1"
"တာဆုံ","1,43,44"
"တာမွေ(ဗလီ)","7,25"
"တာမွေလမ်း","20,27"
"တာမွေအဝိုင်း","3,12,14,20,26,27,29,59"
"တိုက်ကြီး","55"
"တိုင်းရင်းသား နည်းပညာတက္ကသိုလ်","9"
"တိုင်းရင်းသားကျေးရွာ","4,5"
"တိုင်းရင်းသားကျေးရွာ","10"
"တောင်ဒဂုံ","60"
"တောင်ဒဂုံ(၇၀/၇၂)ရပ်ကွက်","7"
"တောင်မြောက်လမ်းဆုံ","1,2,3,6,7,24,25,46,60"
"တောင်ဥက္ကလာဘုရား","38"
"တွံတေး","47,48"
"တွံတေးကြိုးတံတား","47,49"
"တွံတေးမြို့","47"
"ထန်းခြောက်ပင်","40,42"
"ထန်းတစ်ပင်","52"
"ထောက်ကြန့်","41"
"ထောက်ကြန့်","44,55"
"ထောက်ကြန့်","35,36,37"
"ဒဂုံတက္ကသိုလ်","10,27"
"ဒဂုံတက္ကသိုလ်","25,26,28,29,30"
"ဒဂုံမြောက်(ဘုရင့်နောင်လမ်းဆုံ)","14"
"ဒဂုံဧရာအဝေးပြေး","20"
"ဒဂုံဧရာအဝေးပြေးဝင်း","16"
"ဒညင်းကုန်း","21,39,44"
"ဒညင်းကုန်းလမ်းဆုံ","17,40,42"
"ဒရယ်ဖို","1"
"ဒလ","48,50"
"ဒါးပိန်","46"
"ဒေါပုံ","9,33"
"ဓမ္မစေတီလမ်း","11,59"
"နတ်မောက်လမ်း","8"
"နန္ဒဝန်ဈေး","12"
"နဝဒေး","6,10,15,16,19,28,36"
"နွယ်ခွေ","35,36"
"နှင်းဆီကုန်းလမ်း","59"
"ပင်လုံလမ်း","14,26,29"
"ပါရမီ","30"
"ပါရမီလမ်း","10,12,18,32"
"ပုဇွန်တောင်ဈေး","24,26"
"ပုလဲမြို့သစ်","36"
"ပုလဲလမ်း","40"
"ပုသိမ်လမ်း","16,23,54"
"ပေါက်ကုန်း","1"
"ပေါက်ကုန်းအဝိုင်း","21,22"
"ပေါက်တန်းအဝိုင်း","17"
"ပေါက်တောဝ","15,22,40"
"ပဲခူး","51"
"ပဲခူးမြစ်လမ်း","3,4,5"
"ပြည်တော်သာ","21,40"
"ပြည်တော်သာ(အောက်လမ်း)","39"
"ပြည်ထောင်စုလမ်း","2,2,7,15,24,25,26,27,29,30"
"ပြည်ထောင်စုလမ်းဆုံ","60"
"ပြည်ထောင်စုလမ်းမကြီး","60"
"ပြည်လမ်း","6,35,37,41,43"
"ဖောင်ကြီး","45"
"ဖောင်ကြီးလမ်း","45"
"ဗညားဒလလမ်း","3,20,27,33"
"ဗဟန်း(၃)လမ်း","28,36"
"ဗဟိုလမ်း","11,11,22,22"
"ဗားကရာ","22"
"ဗားကရာလမ်း","11,20,59"
"ဗိုလ်ချုပ်နေဝင်းလမ်း","32"
"ဗိုလ်ချုပ်အောင်ဆန်းလမ်း","5,56"
"ဗိုလ်တစ်ထောင်","57"
"ဗိုလ်တစ်ထောင်ဈေးလမ်း","31,31"
"ဗိုလ်တစ်ထောင်ဘုရား","58"
"ဗိုလ်တစ်ထောင်ဘုရား(ကမ်းနားလမ်း)","58"
